Movie Number,Title,Type,Run Time,Year,Rating,Imdb
1,The Quiet Man,DR,129,1952,PG,http://www.imdb.com/title/tt0045061/ 
2,Some Like It Hot,CO,122,1959,U,http://www.imdb.com/title/tt0053291/ 
3,The Magnificent Seven,DR,128,1960,U,http://www.imdb.com/title/tt0054047/ 
4,Dr. No,AC,110,1962,U,http://www.imdb.com/title/tt0055928/ 
5,The Great Escape,AC,172,1963,U,http://www.imdb.com/title/tt0057115/ 
6,Goldfinger,AC,110,1964,U,http://www.imdb.com/title/tt0058150/ 
7,In Harm's Way,DR,167,1965,U,http://www.imdb.com/title/tt0059309/ 
8,Bull Durham,DR,108,1988,R,http://www.imdb.com/title/tt0094812/ 
9,Butch Cassidy & The Sundance Kid,DR,110,1969,PG,http://www.imdb.com/title/tt0064115/ 
10,The Godfather (Part 1),DR,175,1972,R,http://www.imdb.com/title/tt0068646/ 
11,The Godfather (Part 2),DR,200,1974,R,http://www.imdb.com/title/tt0071562/ 
12,The Godfather (Part 3),DR,170,1990,R,http://www.imdb.com/title/tt0099674/ 
13,The Paper Chase,DR,112,1973,PG,http://www.imdb.com/title/tt0070509/ 
14,The Man With The Golden Gun,AC,125,1974,PG,http://www.imdb.com/title/tt0071807/ 
15,Carwash,CO,96,1976,PG,http://www.imdb.com/title/tt0074281/ 
16,The Spy Who Loved Me,AC,125,,,
17,Private Benjamin,CO,110,,,
18,Altered States,SF,103,,,
19,The Road Warrior,SF,95,,,
20,Mad Max - Beyond Thunderdome,SF,107,,,
21,The Right Stuff,DR,193,,,
22,The Man With Two Brains,CO,90,,,
23,Eddie And The Cruisers,DR,95,,,
24,Home Alone,CO,103,,,
25,Home Alone 2,CO,120,,,
26,Red Dawn,DR,114,,,
27,Hangmen,DR,88,,,
28,Soap Dish,CO,96,,,
29,Total Recall,SF,113,,,
30,License To Kill,AC,133,,,
31,When Harry Met Sally,CO,96,,,
32,Going Overboard,CO,97,,,
33,Millenium,SF,108,,,
34,Pump Up The Volume,DR,102,,,
35,The Bonfire Of The Vanities,DR,126,,,
36,The Butterfly Effect,DR,120,,,
37,The Boondock Saints,DR,108,,,
38,Hoosiers,DR,114,,,
39,The Full Monty,CO,92,,,
40,The Silence Of The Lambs,TH,118,,,
41,Hannibal,TH,131,,,
42,Red Dragon,TH,125,,,
43,A League Of Their Own,CO,127,,,
